RANK,COUNTRY,(%),DATE OF INFORMATION
1,NAURU,61,2016
2,COOK ISLANDS,55.9,2016
3,PALAU,55.3,2016
4,MARSHALL ISLANDS,52.9,2016
5,TUVALU,51.6,2016
6,NIUE,50,2016
7,TONGA,48.2,2016
8,SAMOA,47.3,2016
9,KIRIBATI,46,2016
10,"MICRONESIA, FEDERATED STATES OF",45.8,2016
11,KUWAIT,37.9,2016
12,UNITED STATES,36.2,2016
13,JORDAN,35.5,2016
14,SAUDI ARABIA,35.4,2016
15,QATAR,35.1,2016
16,LIBYA,32.5,2016
17,TURKEY,32.1,2016
18,EGYPT,32,2016
19,LEBANON,32,2016
20,UNITED ARAB EMIRATES,31.7,2016
21,"BAHAMAS, THE",31.6,2016
22,NEW ZEALAND,30.8,2016
23,IRAQ,30.4,2016
24,FIJI,30.2,2016
25,BAHRAIN,29.8,2016
26,CANADA,29.4,2016
27,AUSTRALIA,29,2016
28,MALTA,28.9,2016
29,MEXICO,28.9,2016
30,ARGENTINA,28.3,2016
31,SOUTH AFRICA,28.3,2016
32,CHILE,28,2016
33,DOMINICA,27.9,2016
34,URUGUAY,27.9,2016
35,SYRIA,27.8,2016
36,UNITED KINGDOM,27.8,2016
37,DOMINICAN REPUBLIC,27.6,2016
38,ALGERIA,27.4,2016
39,OMAN,27,2016
40,TUNISIA,26.9,2016
41,HUNGARY,26.4,2016
42,SURINAME,26.4,2016
43,LITHUANIA,26.3,2016
44,ISRAEL,26.1,2016
45,MOROCCO,26.1,2016
46,CZECHIA,26,2016
47,IRAN,25.8,2016
48,COSTA RICA,25.7,2016
49,ANDORRA,25.6,2016
50,VENEZUELA,25.6,2016
51,IRELAND,25.3,2016
52,VANUATU,25.2,2016
53,BULGARIA,25,2016
54,GREECE,24.9,2016
55,JAMAICA,24.7,2016
56,CUBA,24.6,2016
57,EL SALVADOR,24.6,2016
58,BELARUS,24.5,2016
59,CROATIA,24.4,2016
60,BELIZE,24.1,2016
61,UKRAINE,24.1,2016
62,SPAIN,23.8,2016
63,NICARAGUA,23.7,2016
64,SAINT VINCENT AND THE GRENADINES,23.7,2016
65,LATVIA,23.6,2016
66,MONTENEGRO,23.3,2016
67,BARBADOS,23.1,2016
68,NORWAY,23.1,2016
69,POLAND,23.1,2016
70,RUSSIA,23.1,2016
71,SAINT KITTS AND NEVIS,22.9,2016
72,HAITI,22.7,2016
73,PANAMA,22.7,2016
74,LUXEMBOURG,22.6,2016
75,ROMANIA,22.5,2016
76,SOLOMON ISLANDS,22.5,2016
77,MACEDONIA,22.4,2016
78,COLOMBIA,22.3,2016
79,GERMANY,22.3,2016
80,FINLAND,22.2,2016
81,BELGIUM,22.1,2016
82,BRAZIL,22.1,2016
83,ICELAND,21.9,2016
84,CYPRUS,21.8,2016
85,ALBANIA,21.7,2016
86,GEORGIA,21.7,2016
87,FRANCE,21.6,2016
88,SERBIA,21.5,2016
89,HONDURAS,21.4,2016
90,GRENADA,21.3,2016
91,PAPUA NEW GUINEA,21.3,2016
92,ESTONIA,21.2,2016
93,GUATEMALA,21.2,2016
94,KAZAKHSTAN,21,2016
95,PORTUGAL,20.8,2016
96,MONGOLIA,20.6,2016
97,SWEDEN,20.6,2016
98,SLOVAKIA,20.5,2016
99,NETHERLANDS,20.4,2016
100,PARAGUAY,20.3,2016
101,ARMENIA,20.2,2016
102,BOLIVIA,20.2,2016
103,GUYANA,20.2,2016
104,SLOVENIA,20.2,2016
105,AUSTRIA,20.1,2016
106,AZERBAIJAN,19.9,2016
107,ECUADOR,19.9,2016
108,ITALY,19.9,2016
109,DENMARK,19.7,2016
110,PERU,19.7,2016
111,SAINT LUCIA,19.7,2016
112,SWITZERLAND,19.5,2016
113,ANTIGUA AND BARBUDA,18.9,2016
114,BOTSWANA,18.9,2016
115,MOLDOVA,18.9,2016
116,TRINIDAD AND TOBAGO,18.6,2016
117,TURKMENISTAN,18.6,2016
118,BOSNIA AND HERZEGOVINA,17.9,2016
119,NAMIBIA,17.2,2016
120,YEMEN,17.1,2016
121,KYRGYZSTAN,16.6,2016
122,LESOTHO,16.6,2016
123,UZBEKISTAN,16.6,2016
124,ESWATINI,16.5,2016
125,MALAYSIA,15.6,2016
126,ZIMBABWE,15.5,2016
127,GABON,15,2016
128,TAJIKISTAN,14.2,2016
129,BRUNEI,14.1,2016
130,SEYCHELLES,14,2016
131,DJIBOUTI,13.5,2016
132,MAURITANIA,12.7,2016
133,SAO TOME AND PRINCIPE,12.4,2016
134,CABO VERDE,11.8,2016
135,CAMEROON,11.4,2016
136,GHANA,10.9,2016
137,MAURITIUS,10.8,2016
138,COTE D'IVOIRE,10.3,2016
139,"GAMBIA, THE",10.3,2016
140,THAILAND,10,2016
141,LIBERIA,9.9,2016
142,BENIN,9.6,2016
143,"CONGO, REPUBLIC OF THE",9.6,2016
144,GUINEA-BISSAU,9.5,2016
145,NIGERIA,8.9,2016
146,SENEGAL,8.8,2016
147,SIERRA LEONE,8.7,2016
148,MALDIVES,8.6,2016
149,MALI,8.6,2016
150,PAKISTAN,8.6,2016
151,TANZANIA,8.4,2016
152,TOGO,8.4,2016
153,SOMALIA,8.3,2016
