1,CHINA,"1,384,688,986",July 2018 est.
2,INDIA,"1,296,834,042",July 2018 est.
3,UNITED STATES,"329,256,465",July 2018 est.
4,INDONESIA,"262,787,403",July 2018 est.
5,BRAZIL,"208,846,892",July 2018 est.
6,PAKISTAN,"207,862,518",July 2018 est.
7,NIGERIA,"203,452,505",July 2018 est.
8,BANGLADESH,"159,453,001",July 2018 est.
9,RUSSIA,"142,122,776",July 2018 est.
10,JAPAN,"126,168,156",July 2018 est.
11,MEXICO,"125,959,205",July 2018 est.
12,ETHIOPIA,"108,386,391",July 2018 est.
13,PHILIPPINES,"105,893,381",July 2018 est.
14,EGYPT,"99,413,317",July 2018 est.
15,VIETNAM,"97,040,334",July 2018 est.
16,"CONGO, DEMOCRATIC REPUBLIC OF THE","85,281,024",July 2018 est.
17,IRAN,"83,024,745",July 2018 est.
18,TURKEY,"81,257,239",July 2018 est.
19,GERMANY,"80,457,737",July 2018 est.
20,THAILAND,"68,615,858",July 2018 est.
21,FRANCE,"67,364,357",July 2018 est.
22,UNITED KINGDOM,"65,105,246",July 2018 est.
23,ITALY,"62,246,674",July 2018 est.
24,BURMA,"55,622,506",July 2018 est.
25,TANZANIA,"55,451,343",July 2018 est.
26,SOUTH AFRICA,"55,380,210",July 2018 est.
27,"KOREA, SOUTH","51,418,097",July 2018 est.
28,SPAIN,"49,331,076",July 2018 est.
29,KENYA,"48,397,527",July 2018 est.
30,COLOMBIA,"48,168,996",July 2018 est.
31,ARGENTINA,"44,694,198",July 2018 est.
32,UKRAINE,"43,952,299",July 2018 est.
33,SUDAN,"43,120,843",July 2018 est.
34,ALGERIA,"41,657,488",July 2018 est.
35,UGANDA,"40,853,749",July 2018 est.
36,IRAQ,"40,194,216",July 2018 est.
37,POLAND,"38,420,687",July 2018 est.
38,CANADA,"35,881,659",July 2018 est.
39,AFGHANISTAN,"34,940,837",July 2018 est.
40,MOROCCO,"34,314,130",July 2018 est.
41,SAUDI ARABIA,"33,091,113",July 2018 est.
42,MALAYSIA,"31,809,660",July 2018 est.
43,VENEZUELA,"31,689,176",July 2018 est.
44,PERU,"31,331,228",July 2018 est.
45,ANGOLA,"30,355,880",July 2018 est.
46,UZBEKISTAN,"30,023,709",July 2018 est.
47,NEPAL,"29,717,587",July 2018 est.
48,YEMEN,"28,667,230",July 2018 est.
49,GHANA,"28,102,471",July 2018 est.
