Country,Indicator,Value
Finland,Score,7.632
Norway,Score,7.594
Denmark,Score,7.555
Iceland,Score,7.495
Switzerland,Score,7.487
Netherlands,Score,7.441
Canada,Score,7.328
New Zealand,Score,7.324
Sweden,Score,7.314
Australia,Score,7.272
Israel,Score,7.19
Austria,Score,7.139
Costa Rica,Score,7.072
Ireland,Score,6.977
Germany,Score,6.965
Belgium,Score,6.927
Luxembourg,Score,6.91
United States,Score,6.886
United Kingdom,Score,6.814
United Arab Emirates,Score,6.774
Czech Republic,Score,6.711
Malta,Score,6.627
France,Score,6.489
Mexico,Score,6.488
Chile,Score,6.476
Taiwan,Score,6.441
Panama,Score,6.43
Brazil,Score,6.419
Argentina,Score,6.388
Guatemala,Score,6.382
Uruguay,Score,6.379
Qatar,Score,6.374
Saudi Arabia,Score,6.371
Singapore,Score,6.343
Malaysia,Score,6.322
Spain,Score,6.31
Colombia,Score,6.26
Trinidad and Tobago,Score,6.192
Slovakia,Score,6.173
El Salvador,Score,6.167
Nicaragua,Score,6.141
Poland,Score,6.123
Bahrain,Score,6.105
Uzbekistan,Score,6.096
Kuwait,Score,6.083
Thailand,Score,6.072
Italy,Score,6
Ecuador,Score,5.973
Belize,Score,5.956
Lithuania,Score,5.952
Slovenia,Score,5.948
Romania,Score,5.945
Latvia,Score,5.933
Japan,Score,5.915
Mauritius,Score,5.891
Jamaica,Score,5.89
South Korea,Score,5.875
Northern Cyprus,Score,5.835
Russia,Score,5.81
Kazakhstan,Score,5.79
Cyprus,Score,5.762
Bolivia,Score,5.752
Estonia,Score,5.739
Paraguay,Score,5.681
Peru,Score,5.663
Kosovo,Score,5.662
Moldova,Score,5.64
Turkmenistan,Score,5.636
Hungary,Score,5.62
Libya,Score,5.566
Philippines,Score,5.524
Honduras,Score,5.504
Belarus,Score,5.483
Turkey,Score,5.483
Pakistan,Score,5.472
Hong Kong,Score,5.43
Portugal,Score,5.41
Serbia,Score,5.398
Greece,Score,5.358
Tajikistan,Score,5.358
Montenegro,Score,5.347
Croatia,Score,5.321
Dominican Republic,Score,5.302
Algeria,Score,5.295
Morocco,Score,5.254
China,Score,5.246
Azerbaijan,Score,5.201
Lebanon,Score,5.199
Macedonia,Score,5.185
Jordan,Score,5.161
Nigeria,Score,5.155
Kyrgyzstan,Score,5.131
Bosnia and Herzegovina,Score,5.129
Mongolia,Score,5.125
Vietnam,Score,5.103
Indonesia,Score,5.093
Bhutan,Score,5.082
Somalia,Score,4.982
Cameroon,Score,4.975
Bulgaria,Score,4.933
Nepal,Score,4.88
Venezuela,Score,4.806
Gabon,Score,4.758
Palestinian Territories,Score,4.743
South Africa,Score,4.724
Iran,Score,4.707
Ivory Coast,Score,4.671
Ghana,Score,4.657
Senegal,Score,4.631
Laos,Score,4.623
Tunisia,Score,4.592
Albania,Score,4.586
Sierra Leone,Score,4.571
Congo (Brazzaville),Score,4.559
Bangladesh,Score,4.5
Sri Lanka,Score,4.471
Iraq,Score,4.456
Mali,Score,4.447
Namibia,Score,4.441
Cambodia,Score,4.433
Burkina Faso,Score,4.424
Egypt,Score,4.419
Mozambique,Score,4.417
Kenya,Score,4.41
Zambia,Score,4.377
Mauritania,Score,4.356
Ethiopia,Score,4.35
Georgia,Score,4.34
Armenia,Score,4.321
Myanmar,Score,4.308
Chad,Score,4.301
Congo (Kinshasa),Score,4.245
India,Score,4.19
Niger,Score,4.166
Uganda,Score,4.161
Benin,Score,4.141
Sudan,Score,4.139
Ukraine,Score,4.103
Togo,Score,3.999
Guinea,Score,3.964
Lesotho,Score,3.808
Angola,Score,3.795
Madagascar,Score,3.774
Zimbabwe,Score,3.692
Afghanistan,Score,3.632
Botswana,Score,3.59
Malawi,Score,3.587
Haiti,Score,3.582
Liberia,Score,3.495
Syria,Score,3.462
Rwanda,Score,3.408
Yemen,Score,3.355
Tanzania,Score,3.303
South Sudan,Score,3.254
Central African Republic,Score,3.083
Burundi,Score,2.905
