Country,Indicator,Value
Finland,Ladder,1
Denmark,Ladder,2
Norway,Ladder,3
Iceland,Ladder,4
Netherlands,Ladder,5
Switzerland,Ladder,6
Sweden,Ladder,7
New Zealand,Ladder,8
Canada,Ladder,9
Austria,Ladder,10
Australia,Ladder,11
Costa Rica,Ladder,12
Israel,Ladder,13
Luxembourg,Ladder,14
United Kingdom,Ladder,15
Ireland,Ladder,16
Germany,Ladder,17
Belgium,Ladder,18
United States,Ladder,19
Czech Republic,Ladder,20
United Arab Emirates,Ladder,21
Malta,Ladder,22
Mexico,Ladder,23
France,Ladder,24
Taiwan,Ladder,25
Chile,Ladder,26
Guatemala,Ladder,27
Saudi Arabia,Ladder,28
Qatar,Ladder,29
Spain,Ladder,30
Panama,Ladder,31
Brazil,Ladder,32
Uruguay,Ladder,33
Singapore,Ladder,34
El Salvador,Ladder,35
Italy,Ladder,36
Bahrain,Ladder,37
Slovakia,Ladder,38
Trinidad and Tobago,Ladder,39
Poland,Ladder,40
Uzbekistan,Ladder,41
Lithuania,Ladder,42
Colombia,Ladder,43
Slovenia,Ladder,44
Nicaragua,Ladder,45
Kosovo,Ladder,46
Argentina,Ladder,47
Romania,Ladder,48
Cyprus,Ladder,49
Ecuador,Ladder,50
Kuwait,Ladder,51
Thailand,Ladder,52
Latvia,Ladder,53
South Korea,Ladder,54
Estonia,Ladder,55
Jamaica,Ladder,56
Mauritius,Ladder,57
Japan,Ladder,58
Honduras,Ladder,59
Kazakhstan,Ladder,60
Bolivia,Ladder,61
Hungary,Ladder,62
Paraguay,Ladder,63
Northern Cyprus,Ladder,64
Peru,Ladder,65
Portugal,Ladder,66
Pakistan,Ladder,67
Russia,Ladder,68
Philippines,Ladder,69
Serbia,Ladder,70
Moldova,Ladder,71
Libya,Ladder,72
Montenegro,Ladder,73
Tajikistan,Ladder,74
Croatia,Ladder,75
Hong Kong,Ladder,76
Dominican Republic,Ladder,77
Bosnia and Herzegovina ,Ladder,78
Turkey,Ladder,79
Malaysia,Ladder,80
Belarus,Ladder,81
Greece,Ladder,82
Mongolia,Ladder,83
Macedonia,Ladder,84
Nigeria,Ladder,85
Kyrgyzstan,Ladder,86
Turkmenistan,Ladder,87
Algeria,Ladder,88
Morocco,Ladder,89
Azerbaijan,Ladder,90
Lebanon,Ladder,91
Indonesia,Ladder,92
China,Ladder,93
Vietnam,Ladder,94
Bhutan,Ladder,95
Cameroon,Ladder,96
Bulgaria,Ladder,97
Ghana,Ladder,98
Ivory Coast,Ladder,99
Nepal,Ladder,100
Jordan,Ladder,101
Benin,Ladder,102
Congo (Brazzaville),Ladder,103
Gabon,Ladder,104
Laos,Ladder,105
South Africa,Ladder,106
Albania,Ladder,107
Venezuela,Ladder,108
Cambodia,Ladder,109
Palestinian Territories,Ladder,110
Senegal,Ladder,111
Somalia,Ladder,112
Namibia,Ladder,113
Niger,Ladder,114
Burkina Faso,Ladder,115
Armenia,Ladder,116
Iran,Ladder,117
Guinea,Ladder,118
Georgia,Ladder,119
Gambia,Ladder,120
Kenya,Ladder,121
Mauritania,Ladder,122
Mozambique,Ladder,123
Tunisia,Ladder,124
Bangladesh,Ladder,125
Iraq,Ladder,126
Congo (Kinshasa),Ladder,127
Mali,Ladder,128
Sierra Leone,Ladder,129
Sri Lanka,Ladder,130
Myanmar,Ladder,131
Chad,Ladder,132
Ukraine,Ladder,133
Ethiopia,Ladder,134
Swaziland,Ladder,135
Uganda,Ladder,136
Egypt,Ladder,137
Zambia,Ladder,138
Togo,Ladder,139
India,Ladder,140
Liberia,Ladder,141
Comoros,Ladder,142
Madagascar,Ladder,143
Lesotho,Ladder,144
Burundi,Ladder,145
Zimbabwe,Ladder,146
Haiti,Ladder,147
Botswana,Ladder,148
Syria,Ladder,149
Malawi,Ladder,150
Yemen,Ladder,151
Rwanda,Ladder,152
Tanzania,Ladder,153
Afghanistan,Ladder,154
Central African Republic,Ladder,155
South Sudan,Ladder,156
