Country,Indicator,Value
Australia,Labour market insecurity,5.4
Austria,Labour market insecurity,3.5
Belgium,Labour market insecurity,3.7
Canada,Labour market insecurity,6.0
Czech Republic,Labour market insecurity,3.1
Denmark,Labour market insecurity,4.2
Finland,Labour market insecurity,3.9
France,Labour market insecurity,7.6
Germany,Labour market insecurity,2.7
Greece,Labour market insecurity,29.8
Hungary,Labour market insecurity,4.7
Iceland,Labour market insecurity,0.7
Ireland,Labour market insecurity,7.8
Italy,Labour market insecurity,12.3
Japan,Labour market insecurity,1.4
Korea,Labour market insecurity,2.6
Luxembourg,Labour market insecurity,1.7
Mexico,Labour market insecurity,5.5
Netherlands,Labour market insecurity,4.8
New Zealand,Labour market insecurity,4.7
Poland,Labour market insecurity,5.7
Portugal,Labour market insecurity,10.0
Slovak Republic,Labour market insecurity,9.9
Spain,Labour market insecurity,23.1
Sweden,Labour market insecurity,3.2
Turkey,Labour market insecurity,12.5
United Kingdom,Labour market insecurity,4.5
United States,Labour market insecurity,7.7
Chile,Labour market insecurity,8.7
Estonia,Labour market insecurity,3.8
Israel,Labour market insecurity,4.2
Latvia,Labour market insecurity,9.6
Slovenia,Labour market insecurity,5.8
OECD - Total,Labour market insecurity,7.0
Australia,Stakeholder engagement for developing regulations,2.7
Austria,Stakeholder engagement for developing regulations,1.3
Belgium,Stakeholder engagement for developing regulations,2.0
Canada,Stakeholder engagement for developing regulations,2.9
Czech Republic,Stakeholder engagement for developing regulations,1.6
Denmark,Stakeholder engagement for developing regulations,2.0
Finland,Stakeholder engagement for developing regulations,2.2
France,Stakeholder engagement for developing regulations,2.1
Germany,Stakeholder engagement for developing regulations,1.8
Greece,Stakeholder engagement for developing regulations,1.8
Hungary,Stakeholder engagement for developing regulations,1.2
Iceland,Stakeholder engagement for developing regulations,2.1
Ireland,Stakeholder engagement for developing regulations,1.3
Italy,Stakeholder engagement for developing regulations,2.5
Japan,Stakeholder engagement for developing regulations,1.4
Korea,Stakeholder engagement for developing regulations,2.9
Luxembourg,Stakeholder engagement for developing regulations,1.7
Mexico,Stakeholder engagement for developing regulations,3.2
Netherlands,Stakeholder engagement for developing regulations,2.6
New Zealand,Stakeholder engagement for developing regulations,2.5
Norway,Stakeholder engagement for developing regulations,2.2
Poland,Stakeholder engagement for developing regulations,2.6
Portugal,Stakeholder engagement for developing regulations,1.5
Slovak Republic,Stakeholder engagement for developing regulations,3.0
Spain,Stakeholder engagement for developing regulations,1.8
Sweden,Stakeholder engagement for developing regulations,2.0
Switzerland,Stakeholder engagement for developing regulations,2.3
Turkey,Stakeholder engagement for developing regulations,1.5
United Kingdom,Stakeholder engagement for developing regulations,3.1
United States,Stakeholder engagement for developing regulations,3.1
Brazil,Stakeholder engagement for developing regulations,2.2
Chile,Stakeholder engagement for developing regulations,1.3
Estonia,Stakeholder engagement for developing regulations,2.7
Israel,Stakeholder engagement for developing regulations,2.5
Latvia,Stakeholder engagement for developing regulations,2.2
Slovenia,Stakeholder engagement for developing regulations,2.5
OECD - Total,Stakeholder engagement for developing regulations,2.4
Austria,Dwellings without basic facilities,0.9
Belgium,Dwellings without basic facilities,1.9
Canada,Dwellings without basic facilities,0.2
