Country,Indicator,Value
Australia,Time devoted to leisure and personal care,14.35
Austria,Time devoted to leisure and personal care,14.55
Belgium,Time devoted to leisure and personal care,15.7
Canada,Time devoted to leisure and personal care,14.56
Denmark,Time devoted to leisure and personal care,15.87
Finland,Time devoted to leisure and personal care,15.17
France,Time devoted to leisure and personal care,16.36
Germany,Time devoted to leisure and personal care,15.62
Italy,Time devoted to leisure and personal care,16.47
Korea,Time devoted to leisure and personal care,14.7
New Zealand,Time devoted to leisure and personal care,14.87
Norway,Time devoted to leisure and personal care,15.56
Poland,Time devoted to leisure and personal care,14.42
Spain,Time devoted to leisure and personal care,15.93
Sweden,Time devoted to leisure and personal care,15.18
Turkey,Time devoted to leisure and personal care,14.79
United Kingdom,Time devoted to leisure and personal care,14.92
United States,Time devoted to leisure and personal care,14.44
Estonia,Time devoted to leisure and personal care,14.9
Latvia,Time devoted to leisure and personal care,13.83
Slovenia,Time devoted to leisure and personal care,14.75
South Africa,Time devoted to leisure and personal care,14.92
OECD - Total,Time devoted to leisure and personal care,14.98
