Country,Indicator,Value
Australia,Life expectancy,82.5
Austria,Life expectancy,81.7
Belgium,Life expectancy,81.5
Canada,Life expectancy,81.9
Czech Republic,Life expectancy,79.1
Denmark,Life expectancy,80.9
Finland,Life expectancy,81.5
France,Life expectancy,82.4
Germany,Life expectancy,81.1
Greece,Life expectancy,81.5
Hungary,Life expectancy,76.2
Iceland,Life expectancy,82.3
Ireland,Life expectancy,81.8
Italy,Life expectancy,83.3
Japan,Life expectancy,84.1
Korea,Life expectancy,82.4
Luxembourg,Life expectancy,82.8
Mexico,Life expectancy,75.4
Netherlands,Life expectancy,81.6
New Zealand,Life expectancy,81.7
Norway,Life expectancy,82.5
Poland,Life expectancy,78.0
Portugal,Life expectancy,81.2
Slovak Republic,Life expectancy,77.3
Spain,Life expectancy,83.4
Sweden,Life expectancy,82.4
Switzerland,Life expectancy,83.7
Turkey,Life expectancy,78.0
United Kingdom,Life expectancy,81.2
United States,Life expectancy,78.6
Brazil,Life expectancy,74.8
Chile,Life expectancy,79.9
Estonia,Life expectancy,77.8
Israel,Life expectancy,82.5
Latvia,Life expectancy,74.7
Russia,Life expectancy,71.8
Slovenia,Life expectancy,81.3
South Africa,Life expectancy,57.5
OECD - Total,Life expectancy,80.2
Colombia,Life expectancy,76.2
Lithuania,Life expectancy,74.8
