Country,Indicator,Value
Australia,Quality of support network,95.0
Austria,Quality of support network,92.0
Belgium,Quality of support network,91.0
Canada,Quality of support network,93.0
Czech Republic,Quality of support network,91.0
Denmark,Quality of support network,95.0
Finland,Quality of support network,95.0
France,Quality of support network,90.0
Germany,Quality of support network,90.0
Greece,Quality of support network,80.0
Hungary,Quality of support network,86.0
Iceland,Quality of support network,98.0
Ireland,Quality of support network,95.0
Italy,Quality of support network,92.0
Japan,Quality of support network,89.0
Korea,Quality of support network,78.0
Luxembourg,Quality of support network,93.0
Mexico,Quality of support network,81.0
Netherlands,Quality of support network,91.0
New Zealand,Quality of support network,96.0
Norway,Quality of support network,94.0
Poland,Quality of support network,86.0
Portugal,Quality of support network,88.0
Slovak Republic,Quality of support network,91.0
Spain,Quality of support network,93.0
Sweden,Quality of support network,91.0
Switzerland,Quality of support network,93.0
Turkey,Quality of support network,86.0
United Kingdom,Quality of support network,94.0
United States,Quality of support network,91.0
Brazil,Quality of support network,90.0
Chile,Quality of support network,85.0
Estonia,Quality of support network,92.0
Israel,Quality of support network,88.0
Latvia,Quality of support network,86.0
Russia,Quality of support network,89.0
Slovenia,Quality of support network,92.0
South Africa,Quality of support network,88.0
OECD - Total,Quality of support network,89.0
Colombia,Quality of support network,89.0
Lithuania,Quality of support network,88.0
