Air pollution,Dwellings without basic facilities,Educational attainment,Employees working very long hours,Employment rate,Feeling safe walking alone at night,Homicide rate,Household net adjusted disposable income,Household net wealth,Housing expenditure,Labour market insecurity,Life expectancy,Life satisfaction,Long-term unemployment rate,Personal earnings,Quality of support network,Rooms per person,Self-reported health,Stakeholder engagement for developing regulations,Student skills,Time devoted to leisure and personal care,Voter turnout,Water quality,Years in education
5,,81,13.04,73,63.5,1.1,32759,427064,20,5.4,82.5,7.3,1.31,49126,95,,85,2.7,502,14.35,91,93,21
16,0.9,85,6.66,72,80.6,0.5,33541,308325,21,3.5,81.7,7.1,1.84,50349,92,1.6,70,1.3,492,14.55,80,92,17
15,1.9,77,4.75,63,70.1,1,30364,386006,21,3.7,81.5,6.9,3.54,49675,91,2.2,74,2,503,15.7,89,84,19.3
10,6.7,49,7.13,61,35.6,26.7,,,,,74.8,6.4,,,90,,,2.2,395,,79,73,16.2
7,0.2,91,3.69,73,82.2,1.3,30854,423849,22,6,81.9,7.4,0.77,47622,93,2.6,88,2.9,523,14.56,68,91,17.3
16,9.4,65,9.72,63,47.9,4.2,,100967,18,8.7,79.9,6.5,,25879,85,1.2,57,1.3,443,,47,71,17.5
10,23.9,54,26.56,67,44.4,24.5,,,17,,76.2,6.3,0.79,,89,1.2,,1.4,410,,53,75,14.1
20,0.7,94,5.65,74,72.3,0.5,21453,,24,3.1,79.1,6.7,1.04,25372,91,1.4,60,1.6,491,,61,87,17.9
9,0.5,81,2.34,74,83.5,0.6,29606,118637,23,4.2,80.9,7.6,1.31,51466,95,1.9,71,2,504,15.87,86,95,19.5
8,7,89,2.42,74,69,3.1,19697,159373,17,3.8,77.8,5.7,1.92,24336,92,1.6,53,2.7,524,14.9,64,84,17.7
6,0.5,88,3.81,70,85.1,1.3,29943,200827,23,3.9,81.5,7.6,2.13,42964,95,1.9,70,2.2,523,15.17,67,95,19.8
13,0.5,78,7.67,65,70.5,0.5,31304,280653,21,7.6,82.4,6.5,4,43755,90,1.8,66,2.1,496,16.36,75,81,16.5
14,0.2,87,4.26,75,72.5,0.5,34294,259667,20,2.7,81.1,7,1.57,47585,90,1.8,65,1.8,508,15.62,76,91,18.1
18,0.5,73,6.42,53,60,0.8,17700,150134,23,29.8,81.5,5.4,15.65,26064,80,1.2,74,1.8,458,,64,69,19
19,4.7,84,3.03,68,56.3,1,,104458,19,4.7,76.2,5.6,1.72,22576,86,1.2,60,1.2,474,,70,77,16.4
3,0,77,15.06,86,86,0.5,,,24,0.7,82.3,7.5,0.26,61787,98,1.6,76,2.1,481,,79,99,19
7,1,82,5.25,67,75.9,0.7,25310,217130,20,7.8,81.8,7,3.23,47653,95,2.1,83,1.3,509,,65,85,18.1
21,,87,15.45,69,69.8,1.8,,,,4.2,82.5,7.2,0.49,35067,88,1.2,84,2.5,472,,72,67,15.6
18,0.7,61,4.11,58,58.4,0.6,26588,279889,23,12.3,83.3,6,6.59,36658,92,1.4,71,2.5,485,16.47,73,71,16.6
14,6.4,,,75,72.5,0.2,29798,305878,22,1.4,84.1,5.9,1.03,40863,89,1.9,36,1.4,529,,53,87,16.4
28,2.5,88,,67,66.6,1,21882,285980,15,2.6,82.4,5.9,0.05,35191,78,1,33,2.9,519,14.7,77,76,17.3
11,13.9,88,1.27,70,62.4,4.8,16275,70160,23,9.6,74.7,5.9,3.35,23683,86,1.2,47,2.2,487,13.83,59,79,18
14,13.6,93,0.54,70,55.9,3.4,21660,,19,,74.8,5.9,2.69,24287,88,1.5,43,2.4,475,,51,81,18.4
12,0.5,77,3.82,66,75.8,0.6,39264,769053,21,1.7,82.8,6.9,2.35,63062,93,1.9,69,1.7,483,,91,84,15.1
16,25.5,38,28.7,61,41.8,18.1,,,20,5.5,75.4,6.5,0.07,15314,81,1,66,3.2,416,,63,68,15.2
14,0.1,78,0.42,76,82,0.6,29333,157824,19,4.8,81.6,7.4,1.97,52877,91,1.9,76,2.6,508,,82,93,18.7
5,,79,15.11,77,65.7,1.3,,388514,26,4.7,81.7,7.3,0.74,40043,96,2.4,88,2.5,506,14.87,80,89,17.7
5,0,82,2.93,74,90.1,0.4,35725,228936,17,,82.5,7.6,0.66,51212,94,2.1,77,2.2,504,15.56,78,98,18.3
14,4.4,78,11.01,68,68.4,3.7,33604,409880,20,7,80.2,6.5,1.78,43241,89,1.8,69,2.4,486,14.98,68,81,17.2
22,3,92,5.95,66,67.3,0.7,19814,210991,22,5.7,78,6.1,1.52,27046,86,1.1,58,2.6,504,14.42,55,82,17.6
10,1,48,8.27,68,73.4,1,21203,232666,21,10,81.2,5.4,4.43,25367,88,1.7,48,1.5,497,,56,86,16.9
15,14.8,94,0.14,70,52.8,9.6,,,18,,71.8,5.8,1.59,,89,0.9,43,,492,,68,55,16.2
21,1.2,91,4.14,66,63.5,0.8,20474,,23,9.9,77.3,6.2,4.78,24328,91,1.1,66,3,463,,60,85,15.8
