,Country,Rank 2015,Rank 2016,Rank 2017,Rank 2018,Rank 2019,Region
0,Switzerland,1.0,2.0,4.0,5.0,6.0,Western Europe
1,Iceland,2.0,3.0,3.0,4.0,4.0,Western Europe
2,Denmark,3.0,1.0,2.0,3.0,2.0,Western Europe
3,Norway,4.0,4.0,1.0,2.0,3.0,Western Europe
4,Canada,5.0,6.0,7.0,7.0,9.0,North America
5,Finland,6.0,5.0,5.0,1.0,1.0,Western Europe
6,Netherlands,7.0,7.0,6.0,6.0,5.0,Western Europe
7,Sweden,8.0,10.0,9.0,9.0,7.0,Western Europe
8,New Zealand,9.0,8.0,8.0,8.0,8.0,Australia and New Zealand
9,Australia,10.0,9.0,10.0,10.0,11.0,Australia and New Zealand
10,Israel,11.0,11.0,11.0,11.0,13.0,Middle East and Northern Africa
11,Costa Rica,12.0,14.0,12.0,13.0,12.0,Latin America and Caribbean
12,Austria,13.0,12.0,13.0,12.0,10.0,Western Europe
13,Mexico,14.0,21.0,25.0,24.0,23.0,Latin America and Caribbean
14,United States,15.0,13.0,14.0,18.0,19.0,North America
15,Brazil,16.0,17.0,22.0,28.0,32.0,Latin America and Caribbean
16,Luxembourg,17.0,20.0,18.0,17.0,14.0,Western Europe
17,Ireland,18.0,19.0,15.0,14.0,16.0,Western Europe
18,Belgium,19.0,18.0,17.0,16.0,18.0,Western Europe
19,United Arab Emirates,20.0,28.0,21.0,20.0,21.0,Middle East and Northern Africa
20,United Kingdom,21.0,23.0,19.0,19.0,15.0,Western Europe
21,Oman,22.0,,,,,Middle East and Northern Africa
22,Venezuela,23.0,44.0,82.0,102.0,108.0,Latin America and Caribbean
23,Singapore,24.0,22.0,26.0,34.0,34.0,Southeastern Asia
24,Panama,25.0,25.0,30.0,27.0,31.0,Latin America and Caribbean
25,Germany,26.0,16.0,16.0,15.0,17.0,Western Europe
26,Chile,27.0,24.0,20.0,25.0,26.0,Latin America and Caribbean
27,Qatar,28.0,36.0,35.0,32.0,29.0,Middle East and Northern Africa
28,France,29.0,32.0,31.0,23.0,24.0,Western Europe
29,Argentina,30.0,26.0,24.0,29.0,47.0,Latin America and Caribbean
30,Czech Republic,31.0,27.0,23.0,21.0,20.0,Central and Eastern Europe
31,Uruguay,32.0,29.0,28.0,31.0,33.0,Latin America and Caribbean
32,Colombia,33.0,31.0,36.0,37.0,43.0,Latin America and Caribbean
33,Thailand,34.0,33.0,32.0,46.0,52.0,Southeastern Asia
34,Saudi Arabia,35.0,34.0,37.0,33.0,28.0,Middle East and Northern Africa
35,Spain,36.0,37.0,34.0,36.0,30.0,Western Europe
36,Malta,37.0,30.0,27.0,22.0,22.0,Western Europe
37,Taiwan,38.0,34.0,33.0,26.0,25.0,Eastern Asia
38,Kuwait,39.0,41.0,39.0,45.0,51.0,Middle East and Northern Africa
39,Suriname,40.0,40.0,,,,Latin America and Caribbean
40,Trinidad and Tobago,41.0,43.0,38.0,38.0,39.0,Latin America and Caribbean
41,El Salvador,42.0,46.0,45.0,40.0,35.0,Latin America and Caribbean
42,Guatemala,43.0,39.0,29.0,30.0,27.0,Latin America and Caribbean
43,Uzbekistan,44.0,49.0,47.0,44.0,41.0,Central and Eastern Europe
44,Slovakia,45.0,45.0,40.0,39.0,38.0,Central and Eastern Europe
45,Japan,46.0,53.0,51.0,54.0,58.0,Eastern Asia
46,South Korea,47.0,57.0,55.0,57.0,54.0,Eastern Asia
47,Ecuador,48.0,51.0,44.0,48.0,50.0,Latin America and Caribbean
48,Bahrain,49.0,42.0,41.0,43.0,37.0,Middle East and Northern Africa
49,Italy,50.0,50.0,48.0,47.0,36.0,Western Europe
50,Bolivia,51.0,59.0,58.0,62.0,61.0,Latin America and Caribbean
51,Moldova,52.0,55.0,56.0,67.0,71.0,Central and Eastern Europe
52,Paraguay,53.0,70.0,70.0,64.0,63.0,Latin America and Caribbean
53,Kazakhstan,54.0,54.0,60.0,60.0,60.0,Central and Eastern Europe
54,Slovenia,55.0,63.0,62.0,51.0,44.0,Central and Eastern Europe
55,Lithuania,56.0,60.0,52.0,50.0,42.0,Central and Eastern Europe
56,Nicaragua,57.0,48.0,43.0,41.0,45.0,Latin America and Caribbean
57,Peru,58.0,64.0,63.0,65.0,65.0,Latin America and Caribbean
58,Belarus,59.0,61.0,67.0,73.0,81.0,Central and Eastern Europe
59,Poland,60.0,57.0,46.0,42.0,40.0,Central and Eastern Europe
60,Malaysia,61.0,47.0,42.0,35.0,80.0,Southeastern Asia
61,Croatia,62.0,74.0,77.0,82.0,75.0,Central and Eastern Europe
62,Libya,63.0,67.0,68.0,70.0,72.0,Middle East and Northern Africa
63,Russia,64.0,56.0,49.0,59.0,68.0,Central and Eastern Europe
64,Jamaica,65.0,73.0,76.0,56.0,56.0,Latin America and Caribbean
65,Northern Cyprus,66.0,62.0,61.0,58.0,64.0,Western Europe
66,Cyprus,67.0,69.0,65.0,61.0,49.0,Western Europe
67,Algeria,68.0,38.0,53.0,84.0,88.0,Middle East and Northern Africa
68,Kosovo,69.0,77.0,78.0,66.0,46.0,Central and Eastern Europe
69,Turkmenistan,70.0,65.0,59.0,68.0,87.0,Central and Eastern Europe
